クラス,日本語,F1スコア,Precision,Recall,Support
NORM,正常,0.8227334235453315,0.727853152434158,0.946058091286307,964
MI,心筋梗塞,0.6746987951807228,0.6920152091254753,0.6582278481012658,553
STTC,ST-T変化,0.7404782993799823,0.6897689768976898,0.7992351816443595,523
CD,伝導障害,0.7105004906771345,0.6948176583493282,0.7269076305220884,498
HYP,心肥大,0.38631346578366443,0.27216174183514774,0.6653992395437263,263
